🕘️更新时间,#genre#
2026-03-01 00:19:27,http://23.237.228.134/live5/CCTV1.m3u8

📺央视频道,#genre#
CCTV-1,http://23.237.228.134/live5/CCTV1.m3u8
CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-1,http://222.214.208.34:59901/tsfile/live/0001_1.m3u8
CCTV-1,http://123.118.50.8:8686/rtp/239.3.1.129:8008
CCTV-1,http://106.116.127.35:4022/rtp/239.254.200.45:8008
CCTV-1,http://60.4.29.183:8077/rtp/239.253.92.83:8012
CCTV-2,http://23.237.228.134/live5/CCTV2.m3u8
CCTV-2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-2,http://38.75.136.137:98/gslb/dsdqca/cctv2hd.m3u8?auth=test20251009
CCTV-2,http://222.214.208.34:59901/tsfile/live/0002_1.m3u8
CCTV-2,http://123.118.50.8:8686/rtp/239.3.1.60:8084
CCTV-2,http://106.116.127.35:4022/rtp/239.254.200.158:6000
CCTV-2,http://60.4.29.183:8077/rtp/239.253.92.190:6065
CCTV-2,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://23.237.228.134/live5/CCTV3.m3u8
CCTV-3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8
CCTV-3,http://123.118.50.8:8686/rtp/239.3.1.172:8001
CCTV-3,http://106.116.127.35:4022/rtp/239.254.201.152:7205
CCTV-3,http://60.4.29.183:8077/rtp/239.253.92.191:6057
CCTV-3,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV-4,http://123.118.50.8:8686/rtp/239.3.1.105:8092
CCTV-4,http://106.116.127.35:4022/rtp/239.254.200.190:6307
CCTV-4,http://60.4.29.183:8077/rtp/239.253.92.251:6141
CCTV-5,http://23.237.228.134/live5/CCTV5p.m3u8
CCTV-5,http://23.237.228.134/live5/CCTV5.m3u8
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV-5,http://38.75.136.137:98/gslb/dsdqca/cctv5hd.m3u8?auth=test20251009
CCTV-5,http://123.118.50.8:8686/rtp/239.3.1.173:8001
CCTV-5,http://106.116.127.35:4022/rtp/239.254.201.153:7206
CCTV-5,http://60.4.29.183:8077/rtp/239.253.92.181:6046
CCTV-5,http://hczn.x3322.net:9902/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://23.237.228.134/live5/CCTV5p.m3u8
CCTV-5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV-5+,http://123.118.50.8:8686/rtp/239.3.1.130:8004
CCTV-5+,http://106.116.127.35:4022/rtp/239.254.200.46:8004
CCTV-5+,http://60.4.29.183:8077/rtp/239.253.92.82:8013
CCTV-5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://23.237.228.134/live5/CCTV6.m3u8
CCTV-6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV-6,http://38.75.136.137:98/gslb/dsdqca/cctv6hd.m3u8?auth=test20251009
CCTV-6,http://123.118.50.8:8686/rtp/239.3.1.174:8001
CCTV-6,http://106.116.127.35:4022/rtp/239.254.201.154:7207
CCTV-6,http://60.4.29.183:8077/rtp/239.253.92.193:6058
CCTV-7,http://23.237.228.134/live5/CCTV7.m3u8
CCTV-7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV-7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV-7,http://38.75.136.137:98/gslb/dsdqca/cctv7hd.m3u8?auth=test20251009
CCTV-7,http://222.214.208.34:59901/tsfile/live/0007_1.m3u8
CCTV-7,http://123.118.50.8:8686/rtp/239.3.1.61:8104
CCTV-7,http://106.116.127.35:4022/rtp/239.254.200.159:6000
CCTV-7,http://60.4.29.183:8077/rtp/239.253.92.194:6059
CCTV-8,http://23.237.228.134/live5/CCTV8.m3u8
CCTV-8,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CCTV-8,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009
CCTV-8,http://38.75.136.137:98/gslb/dsdqca/gxwshd.m3u8?auth=test20251009
CCTV-8,http://123.118.50.8:8686/rtp/239.3.1.175:8001
CCTV-8,http://106.116.127.35:4022/rtp/239.254.201.155:7208
CCTV-8,http://60.4.29.183:8077/rtp/239.253.92.195:6060
CCTV-8,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://23.237.228.134/live5/CCTV9.m3u8
CCTV-9,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009
CCTV-9,http://123.118.50.8:8686/rtp/239.3.1.62:8112
CCTV-9,http://106.116.127.35:4022/rtp/239.254.200.59:8112
CCTV-9,http://60.4.29.183:8077/rtp/239.253.92.107:6020
CCTV-10,http://23.237.228.134/live5/CCTV10.m3u8
CCTV-10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV-10,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-10,http://123.118.50.8:8686/rtp/239.3.1.63:8116
CCTV-10,http://106.116.127.35:4022/rtp/239.254.200.160:6000
CCTV-10,http://60.4.29.183:8077/rtp/239.253.92.196:6061
CCTV-11,http://69.30.246.194/live/cctv11.m3u8
CCTV-11,http://23.237.228.134/live3/CCTV11.m3u8
CCTV-11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV-11,http://123.118.50.8:8686/rtp/239.3.1.152:8120
CCTV-11,http://106.116.127.35:4022/rtp/239.254.201.123:8120
CCTV-11,http://60.4.29.183:8077/rtp/239.253.93.153:6321
CCTV-12,http://23.237.228.134/live3/CCTV12.m3u8
CCTV-12,http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009
CCTV-12,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV-12,http://123.118.50.8:8686/rtp/239.3.1.64:8124
CCTV-12,http://106.116.127.35:4022/rtp/239.254.200.161:6000
CCTV-12,http://60.4.29.183:8077/rtp/239.253.92.197:6062
CCTV-13,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009
CCTV-13,http://123.118.50.8:8686/rtp/239.3.1.124:8128
CCTV-13,http://106.116.127.35:4022/rtp/239.254.200.9:8264
CCTV-13,http://60.4.29.183:8077/rtp/239.253.92.13:8008
CCTV-13,http://183.215.134.239:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://69.30.246.194/live/cctv14.m3u8
CCTV-14,http://23.237.228.134/live3/CCTV14.m3u8
CCTV-14,http://38.75.136.137:98/gslb/dsdqpub/cctv14hd.m3u8?auth=testpub
